source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_g_mean_flux_over_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,l,b
662073233065712640,127.08800292175792,0.048607215,17.44909259198627,0.029986454,7.630403360282096,0.0582647,130.961,-8.193768531061869,0.05680277,-8.496948012099537,0.039573938,16.276043,17.681278,15.108293,2.5729856,1.4052353,1.1677504,1758.8846,,,1.0278524,0.0896407,0.60933113,207.13262147834013,29.02260605771041
662104225549566976,126.11792095513486,0.13333231,17.38814395501504,0.08286846,4.2688454352474,0.15713082,27.167461,26.975836292368662,0.16270252,-13.005901662982666,0.11265274,17.972519,19.480331,16.776531,2.7038002,1.5078125,1.1959877,752.92316,,,0.98491466,0.3423131,1.4339027,206.80353507157548,28.14116679090452
662123600145438208,125.95548353324384,0.2703004,17.637107742103858,0.18582857,3.1064985011124238,0.3506566,8.85909,-29.357430436397657,0.3332054,8.19922502878155,0.2405428,19.196098,20.786835,18.000738,2.7860966,1.5907364,1.1953602,392.1235,,,1.0343595,0.40360752,0.40198493,206.47608951581978,28.09046405217815
662169612132262272,126.5413620930737,0.4818577,18.164284433298924,0.299957,3.3852741106378232,0.57905054,5.8462496,-14.120456465795431,0.5352267,4.924879982855854,0.38166076,19.893778,21.269297,18.582737,2.6865597,1.3755188,1.3110409,261.8001,,,0.96661687,0.0,0.0,206.15365702943376,28.80346178323757
662170501187158656,127.29538881208347,0.20295127,17.64236609664267,0.12432549,3.2570482313322726,0.2338633,13.927146,-10.557842320157727,0.2512432,6.329803440212198,0.16432263,18.685781,20.06132,17.488548,2.572771,1.3755379,1.1972332,602.05457,,,1.0128319,0.0,0.0,207.01118781458533,29.277963550862005
662182393954191744,127.47765253595418,0.037803367,17.90525517417782,0.02512069,3.3177653422811626,0.04481339,74.03513,-32.553465159957575,0.047033343,0.8175906162345543,0.033924986,15.889446,16.916065,14.880808,2.0352573,1.026619,1.0086384,2466.5034,,,1.0835494,0.07586747,0.6222918,206.80422350779367,29.536281200427357
662188303829220736,127.11566675078525,0.13760708,17.807549630707328,0.086607516,3.6796282878302877,0.14740145,24.96331,-41.05154380388161,0.16585642,-29.38059527798076,0.11324398,18.090757,19.695175,16.87096,2.824215,1.6044178,1.2197971,880.42053,,,1.0153537,0.0,0.0,206.7627897510867,29.179972823297046
662222594848032000,127.78231347478827,0.014375838,18.346829088961996,0.009607414,3.7270406592149112,0.015943408,233.76688,-29.952102072974867,0.01653949,-7.39803386882718,0.01112417,12.291753,12.64667,11.770924,0.8757467,0.35491753,0.5208292,1917.6708,33.45476,1.3344553,0.9642868,0.060376186,3.7308223,206.452702039372,29.96719234873324
662224068019651584,127.38665955781725,0.12208058,18.125208564558644,0.07550843,3.4712750384417137,0.13949579,24.884441,-65.50458073914427,0.13583988,-43.691740543195735,0.09362384,17.956865,19.514292,16.752731,2.7615604,1.5574265,1.204134,822.45135,,,1.0761479,0.29837307,1.1051129,206.53255580702955,29.536470279840604
662230665089628416,127.38250698046978,0.28343728,18.28465395813657,0.18294415,3.0824998488197872,0.34493896,8.936363,-8.53615281660627,0.341762,4.090291537226424,0.24395983,19.397476,20.808119,18.201126,2.6069927,1.4106426,1.1963501,397.37305,,,1.0234298,0.9063245,2.1166894,206.36025685341522,29.591044293018353
662233074568249984,127.56367873819394,0.08529346,18.318098376159565,0.056169994,3.3700658308030915,0.10154628,33.18749,-67.13843517300842,0.09947612,-18.891395987769755,0.06991758,17.229206,18.685034,16.061111,2.6239223,1.4558277,1.1680946,1338.8486,,,1.105639,0.24544676,1.5461146,206.39653290808943,29.763415457350902
662239083225721600,127.6476197530754,0.3048338,18.465252832527963,0.22240503,3.040872727871113,0.37161577,8.182841,-25.1514703311034,0.33687726,-29.739147645978402,0.26011857,19.16957,21.034634,17.909445,3.1251888,1.8650627,1.2601261,371.06046,,,1.0772032,0.95143425,1.9863031,206.27185070188807,29.891084382156425
662264754246884480,126.72999237349984,0.08448995,18.251226366650315,0.049344376,4.107783840076089,0.09693213,42.37794,-8.599291058451652,0.09488886,-2.0857031168086664,0.065523595,16.510424,17.807407,15.32503,2.482377,1.2969837,1.1853933,1073.6418,,,1.5572321,0.55636364,19.934238,206.136322660395,29.002046907964566
662280731525286528,127.19606157418386,0.016356803,18.368916084658046,0.010680417,3.9512363157555535,0.019571623,201.88599,-12.225672172820264,0.019029057,1.4603907313283029,0.014061071,9.103213,9.257631,8.816589,0.44104195,0.15441799,0.28662395,4773.5664,19.827559,1.49906,0.91340995,0.10304648,14.688073,206.19595271422662,29.456936447695906
662290588473608704,127.3476812376362,0.2083644,18.567285399464495,0.13239272,3.6896701962470644,0.25632262,14.394634,-0.8570664262716485,0.24742438,-13.35970916239079,0.17556342,18.895376,20.704395,17.52466,3.1797352,1.8090191,1.3707161,491.35562,,,1.0884733,0.92047596,3.8207734,206.04353689613492,29.66298334233032
662296292190172032,127.21733667812242,0.41954583,18.559213465371627,0.25203478,5.437499106085224,0.47410893,11.468881,-34.05796245286384,0.5018925,-12.549605435063414,0.32581466,19.685694,21.39339,18.224144,3.1692467,1.7076969,1.4615498,383.20627,,,1.0832258,1.6049131,4.481078,206.00068404012265,29.54489536308602
662301343071828608,127.07848525747377,0.18266168,18.617686247812536,0.116982274,3.793326677258228,0.20779401,18.255226,-4.638425780811092,0.2292843,1.7354816149855243,0.1436453,18.654562,20.35061,17.439121,2.9114895,1.6960487,1.2154408,637.3033,,,1.0742235,0.67557883,3.1156511,205.8832663082526,29.443432797551587
662319489308755328,126.03349788613437,0.044647634,17.759780852728518,0.0275833,3.7681953984794174,0.048690476,77.39081,-25.817811422930745,0.05230107,-11.540063981916823,0.038581677,15.6573105,16.392672,14.288011,2.104661,0.7353611,1.3692999,1152.5955,,,1.0102949,0.21453631,6.7308383,206.37831796620836,28.20509624414905
662324471472436608,125.98803449800332,0.033965517,17.88800999475072,0.022582963,5.185605460161816,0.041147683,126.02424,-45.10075022624396,0.045549665,46.391397531364674,0.03077663,15.576985,16.621338,14.562359,2.058979,1.0443525,1.0146265,2672.7178,,,0.9252538,0.0,0.0,206.22497039328914,28.21248624560442
